type, op, unstream, num_op, matriz, t_acceso, creacion, ejecucion, computacion, glopbyte, gflops
int, false, false, 100, data/mat-512000-200-69120k.rua, 100.5167, 4.4884, 124.0972, 128.5856, 25.0000, 53.7541
int, false, false, 100, data/mat-6000-100-440k.rua, 0.8981, 2.4850, 2.3474, 4.8324, 25.0000, 9.1052
int, false, false, 100, data/mat-96000-100-7040k.rua, 9.3104, 2.2342, 15.5207, 17.7549, 25.0000, 39.6510
int, false, false, 100, data/samplematrix.rua, 2.3450, 4.6711, 0.5723, 5.2434, 25.0000, 0.0214
int, false, false, 1000, data/mat-200-200-27k.rua, 0.3413, 4.3165, 4.4029, 8.7194, 250.0000, 3.0965
int, false, false, 1000, data/mat-24000-100-1760k.rua, 2.4759, 2.2165, 31.2865, 33.5029, 250.0000, 52.5327
int, false, false, 1000, data/mat-300-100-22k.rua, 2.6275, 2.1663, 0.4693, 2.6356, 250.0000, 8.3472
int, false, false, 1000, data/mat-32000-200-4320k.rua, 5.9673, 4.5242, 77.2105, 81.7347, 250.0000, 52.8540
int, false, false, 1000, data/mat-4000-200-540k.rua, 0.9401, 4.4190, 11.0872, 15.5062, 250.0000, 34.8248
int, false, false, 1000, data/mat-512000-200-69120k.rua, 98.9018, 4.3987, 1048.2627, 1052.6614, 250.0000, 65.6621
int, false, false, 1000, data/mat-6000-100-440k.rua, 0.8280, 2.2480, 7.3098, 9.5578, 250.0000, 46.0356
int, false, false, 1000, data/mat-96000-100-7040k.rua, 14.6417, 2.6650, 108.6460, 111.3111, 250.0000, 63.2462
int, false, false, 1000, data/samplematrix.rua, 0.0842, 4.4760, 0.8631, 5.3391, 250.0000, 0.2098
int, SQUARE, false, 1, data/mat-200-200-27k.rua, 0.0852, 4.3785, 1.5783, 5.9568, 0.2500, 0.0045
int, SQUARE, false, 1, data/mat-24000-100-1760k.rua, 2.7680, 2.3397, 0.7073, 3.0470, 0.2500, 0.5776
int, SQUARE, false, 1, data/mat-300-100-22k.rua, 0.1224, 2.1877, 3.8148, 6.0025, 0.2500, 0.0037
int, SQUARE, false, 1, data/mat-32000-200-4320k.rua, 5.5347, 4.3962, 1.4667, 5.8629, 0.2500, 0.7368
int, SQUARE, false, 1, data/mat-4000-200-540k.rua, 0.9154, 4.3718, 0.7504, 5.1222, 0.2500, 0.1054
int, SQUARE, false, 1, data/mat-512000-200-69120k.rua, 97.6904, 6.8055, 18.9490, 25.7545, 0.2500, 2.6838
int, SQUARE, false, 1, data/mat-6000-100-440k.rua, 0.8192, 2.2101, 0.4100, 2.6201, 0.2500, 0.1679
int, SQUARE, false, 1, data/mat-96000-100-7040k.rua, 9.3148, 2.3707, 4.2444, 6.6151, 0.2500, 1.0642
int, SQUARE, false, 1, data/samplematrix.rua, 0.0584, 7.3523, 0.6044, 7.9567, 0.2500, 0.0001
int, SQUARE, false, 10, data/mat-200-200-27k.rua, 0.1303, 4.4883, 2.6308, 7.1190, 2.5000, 0.0379
int, SQUARE, false, 10, data/mat-24000-100-1760k.rua, 2.4606, 2.1853, 1.0195, 3.2048, 2.5000, 5.4918
int, SQUARE, false, 10, data/mat-300-100-22k.rua, 0.0873, 2.1364, 0.4006, 2.5369, 2.5000, 0.0867
int, SQUARE, false, 10, data/mat-32000-200-4320k.rua, 5.9103, 4.5095, 4.4859, 8.9954, 2.5000, 4.8025
int, SQUARE, false, 10, data/mat-4000-200-540k.rua, 0.9353, 4.4344, 0.7720, 5.2064, 2.5000, 1.0372
int, SQUARE, false, 10, data/mat-512000-200-69120k.rua, 96.7263, 6.6506, 29.2130, 35.8636, 2.5000, 19.2730
int, SQUARE, false, 10, data/mat-6000-100-440k.rua, 0.7545, 2.2201, 0.4878, 2.7079, 2.5000, 1.6249
int, SQUARE, false, 10, data/mat-96000-100-7040k.rua, 12.0045, 2.2936, 3.0922, 5.3858, 2.5000, 13.0714
int, SQUARE, false, 10, data/samplematrix.rua, 0.0415, 4.5767, 0.5711, 5.1478, 2.5000, 0.0022
int, SQUARE, false, 100, data/mat-200-200-27k.rua, 0.1628, 4.6494, 1.0985, 5.7479, 25.0000, 0.4697
int, SQUARE, false, 100, data/mat-24000-100-1760k.rua, 2.6213, 2.3738, 3.7444, 6.1182, 25.0000, 28.7664
int, SQUARE, false, 100, data/mat-300-100-22k.rua, 0.0888, 2.2280, 4.5620, 6.7900, 25.0000, 0.3240
int, SQUARE, false, 100, data/mat-32000-200-4320k.rua, 5.6127, 4.5510, 12.8719, 17.4229, 25.0000, 24.7949
int, SQUARE, false, 100, data/mat-4000-200-540k.rua, 0.9222, 4.4953, 1.3224, 5.8177, 25.0000, 9.2820
int, SQUARE, false, 100, data/mat-512000-200-69120k.rua, 95.8273, 6.8337, 125.9731, 132.8068, 25.0000, 52.0455
int, SQUARE, false, 100, data/mat-6000-100-440k.rua, 0.8328, 2.1296, 1.0713, 3.2008, 25.0000, 13.7464
int, SQUARE, false, 100, data/mat-96000-100-7040k.rua, 9.5331, 2.3318, 13.5577, 15.8895, 25.0000, 44.3060
int, SQUARE, false, 100, data/samplematrix.rua, 0.1103, 4.4800, 0.5837, 5.0637, 25.0000, 0.0221
int, SQUARE, false, 1000, data/mat-200-200-27k.rua, 2.7292, 4.3116, 0.8928, 5.2044, 250.0000, 5.1879
int, SQUARE, false, 1000, data/mat-24000-100-1760k.rua, 2.4694, 2.1924, 29.8207, 32.0131, 250.0000, 54.9775
int, SQUARE, false, 1000, data/mat-300-100-22k.rua, 0.1425, 2.1113, 0.6514, 2.7627, 250.0000, 7.9633
int, SQUARE, false, 1000, data/mat-32000-200-4320k.rua, 5.5357, 6.7766, 82.4683, 89.2449, 250.0000, 48.4061
int, SQUARE, false, 1000, data/mat-4000-200-540k.rua, 0.9096, 4.3020, 10.0506, 14.3526, 250.0000, 37.6238
int, SQUARE, false, 1000, data/mat-512000-200-69120k.rua, 108.5497, 4.3353, 1058.4095, 1062.7448, 250.0000, 65.0391
int, SQUARE, false, 1000, data/mat-6000-100-440k.rua, 0.7568, 2.1923, 7.1851, 9.3774, 250.0000, 46.9214
int, SQUARE, false, 1000, data/mat-96000-100-7040k.rua, 12.3673, 2.2180, 110.6039, 112.8220, 250.0000, 62.3992
int, SQUARE, false, 1000, data/samplematrix.rua, 0.0869, 4.4657, 0.7395, 5.2052, 250.0000, 0.2152
int, DIVISION, false, 1, data/mat-200-200-27k.rua, 1.6009, 4.7648, 0.7387, 5.5036, 0.2500, 0.0049
int, DIVISION, false, 1, data/mat-24000-100-1760k.rua, 2.4460, 2.2039, 0.7250, 2.9289, 0.2500, 0.6009
int, DIVISION, false, 1, data/mat-300-100-22k.rua, 0.0829, 2.3728, 0.3955, 2.7683, 0.2500, 0.0079
int, DIVISION, false, 1, data/mat-32000-200-4320k.rua, 5.6020, 4.4060, 1.4685, 5.8746, 0.2500, 0.7354
int, DIVISION, false, 1, data/mat-4000-200-540k.rua, 0.8991, 4.3344, 0.7397, 5.0741, 0.2500, 0.1064
int, DIVISION, false, 1, data/mat-512000-200-69120k.rua, 96.4524, 4.2175, 17.1787, 21.3962, 0.2500, 3.2305
int, DIVISION, false, 1, data/mat-6000-100-440k.rua, 0.8060, 2.1963, 0.4468, 2.6431, 0.2500, 0.1665
int, DIVISION, false, 1, data/mat-96000-100-7040k.rua, 9.1838, 3.1817, 6.5932, 9.7749, 0.2500, 0.7202
int, DIVISION, false, 1, data/samplematrix.rua, 0.1262, 4.5036, 0.5616, 5.0653, 0.2500, 0.0002
int, DIVISION, false, 10, data/mat-200-200-27k.rua, 2.7109, 4.3022, 0.7290, 5.0311, 2.5000, 0.0537
int, DIVISION, false, 10, data/mat-24000-100-1760k.rua, 2.5796, 2.2042, 0.9409, 3.1451, 2.5000, 5.5960
int, DIVISION, false, 10, data/mat-300-100-22k.rua, 0.0878, 2.6064, 2.2122, 4.8185, 2.5000, 0.0457
int, DIVISION, false, 10, data/mat-32000-200-4320k.rua, 5.8076, 6.9274, 1.9857, 8.9131, 2.5000, 4.8468
int, DIVISION, false, 10, data/mat-4000-200-540k.rua, 0.8863, 4.3678, 0.7230, 5.0908, 2.5000, 1.0607
int, DIVISION, false, 10, data/mat-512000-200-69120k.rua, 96.4417, 6.9056, 26.0669, 32.9725, 2.5000, 20.9629
int, DIVISION, false, 10, data/mat-6000-100-440k.rua, 0.7626, 2.1641, 0.4701, 2.6342, 2.5000, 1.6703
int, DIVISION, false, 10, data/mat-96000-100-7040k.rua, 12.0987, 2.1223, 2.9016, 5.0240, 2.5000, 14.0128
int, DIVISION, false, 10, data/samplematrix.rua, 0.0404, 4.7338, 0.5713, 5.3051, 2.5000, 0.0021
int, DIVISION, false, 100, data/mat-200-200-27k.rua, 0.1537, 4.4811, 2.0254, 6.5065, 25.0000, 0.4150
int, DIVISION, false, 100, data/mat-24000-100-1760k.rua, 2.8224, 2.1955, 3.3109, 5.5064, 25.0000, 31.9626
int, DIVISION, false, 100, data/mat-300-100-22k.rua, 0.0860, 2.3371, 0.3830, 2.7201, 25.0000, 0.8088
int, DIVISION, false, 100, data/mat-32000-200-4320k.rua, 5.6564, 4.3559, 11.2930, 15.6489, 25.0000, 27.6058
int, DIVISION, false, 100, data/mat-4000-200-540k.rua, 0.9116, 4.3090, 1.2452, 5.5542, 25.0000, 9.7223
int, DIVISION, false, 100, data/mat-512000-200-69120k.rua, 93.6215, 4.2557, 129.5525, 133.8082, 25.0000, 51.6560
int, DIVISION, false, 100, data/mat-6000-100-440k.rua, 0.8296, 2.1855, 1.0837, 3.2692, 25.0000, 13.4588
int, DIVISION, false, 100, data/mat-96000-100-7040k.rua, 11.2144, 2.2526, 13.3179, 15.5705, 25.0000, 45.2136
int, DIVISION, false, 100, data/samplematrix.rua, 0.1037, 4.5062, 0.6074, 5.1137, 25.0000, 0.0219
int, DIVISION, false, 1000, data/mat-200-200-27k.rua, 0.3142, 4.5448, 4.9081, 9.4528, 250.0000, 2.8563
int, DIVISION, false, 1000, data/mat-24000-100-1760k.rua, 2.4830, 2.2413, 31.9981, 34.2395, 250.0000, 51.4026
int, DIVISION, false, 1000, data/mat-300-100-22k.rua, 0.1292, 2.1622, 0.6643, 2.8264, 250.0000, 7.7837
int, DIVISION, false, 1000, data/mat-32000-200-4320k.rua, 8.2974, 4.7035, 74.3324, 79.0358, 250.0000, 54.6588
int, DIVISION, false, 1000, data/mat-4000-200-540k.rua, 1.0624, 4.3106, 9.2152, 13.5258, 250.0000, 39.9237
int, DIVISION, false, 1000, data/mat-512000-200-69120k.rua, 97.9720, 4.2425, 1047.5836, 1051.8262, 250.0000, 65.7143
int, DIVISION, false, 1000, data/mat-6000-100-440k.rua, 0.8531, 2.1947, 7.2903, 9.4851, 250.0000, 46.3888
int, DIVISION, false, 1000, data/mat-96000-100-7040k.rua, 14.6003, 2.2388, 109.5727, 111.8115, 250.0000, 62.9631
int, DIVISION, false, 1000, data/samplematrix.rua, 0.0986, 4.4604, 0.7416, 5.2020, 250.0000, 0.2153
double, false, false, 1, data/mat-200-200-27k.rua, 
double, false, false, 1, data/mat-24000-100-1760k.rua, 4.9526, 2.2596, 0.8611, 3.1207, 0.1250, 0.5640
double, false, false, 1, data/mat-300-100-22k.rua, 
